epoch,pid,pcpu,rss_kb,comm
1785557277,60377,0.0,1848,slopos-session
1785557277,60380,8.4,115012,slopos-composit
1785557277,60382,5.5,806536,slopos-shell
1785557277,60394,0.2,239400,finder
1785557277,60804,0.3,196668,settings
1785557277,61792,0.6,226112,settings
1785557277,60805,0.2,195588,textedit
1785557277,61851,0.6,228928,textedit
1785557277,60806,0.2,184160,terminal
1785557277,61345,0.2,218064,terminal
1785557277,61917,0.4,188568,terminal
1785557277,60807,0.1,158448,appstore
1785557287,60377,0.0,1848,slopos-session
1785557287,60380,8.4,115044,slopos-composit
1785557287,60382,5.6,817600,slopos-shell
1785557287,60394,0.2,238008,finder
1785557287,60804,0.3,196476,settings
1785557287,61792,0.5,225920,settings
1785557287,60805,0.2,195396,textedit
1785557287,61851,0.5,228736,textedit
1785557287,60806,0.2,183612,terminal
1785557287,61345,0.2,217744,terminal
1785557287,61917,0.3,188248,terminal
1785557287,60807,0.1,158144,appstore
1785557297,60377,0.0,1848,slopos-session
1785557297,60380,8.4,115044,slopos-composit
1785557297,60382,5.5,817600,slopos-shell
1785557297,60394,0.2,238008,finder
1785557297,60804,0.2,196476,settings
1785557297,61792,0.5,225920,settings
1785557297,60805,0.2,195396,textedit
1785557297,61851,0.5,228736,textedit
1785557297,60806,0.2,183612,terminal
1785557297,61345,0.2,217744,terminal
1785557297,61917,0.3,188248,terminal
1785557297,60807,0.1,158144,appstore
1785557307,60377,0.0,1848,slopos-session
1785557307,60380,8.5,115044,slopos-composit
1785557307,60382,5.4,817600,slopos-shell
1785557307,60394,0.2,238008,finder
1785557307,60804,0.2,196476,settings
1785557307,61792,0.4,225920,settings
1785557307,60805,0.2,195396,textedit
1785557307,61851,0.4,228736,textedit
1785557307,60806,0.2,183612,terminal
1785557307,61345,0.2,217744,terminal
1785557307,61917,0.3,188248,terminal
1785557307,60807,0.1,158144,appstore
1785557317,60377,0.0,1848,slopos-session
1785557317,60380,8.5,115044,slopos-composit
1785557317,60382,5.3,817600,slopos-shell
1785557317,60394,0.2,238008,finder
1785557317,60804,0.2,196476,settings
1785557317,61792,0.4,225920,settings
1785557317,60805,0.2,195396,textedit
1785557317,61851,0.4,228736,textedit
1785557317,60806,0.2,183612,terminal
1785557317,61345,0.1,217744,terminal
1785557317,61917,0.2,188248,terminal
1785557317,60807,0.1,158144,appstore
1785557327,60377,0.0,1848,slopos-session
1785557327,60380,8.5,115044,slopos-composit
1785557327,60382,5.2,817600,slopos-shell
1785557327,60394,0.2,238008,finder
1785557327,60804,0.2,196476,settings
1785557327,61792,0.4,225920,settings
1785557327,60805,0.2,195396,textedit
1785557327,61851,0.4,228736,textedit
1785557327,60806,0.2,183612,terminal
1785557327,61345,0.1,217744,terminal
1785557327,61917,0.2,188248,terminal
1785557327,60807,0.1,158144,appstore
1785557337,60377,0.0,1848,slopos-session
1785557337,60380,8.6,115044,slopos-composit
1785557337,60382,5.1,817600,slopos-shell
1785557337,60394,0.2,238008,finder
1785557337,60804,0.2,196476,settings
1785557337,61792,0.3,225920,settings
1785557337,60805,0.2,195396,textedit
1785557337,61851,0.4,228736,textedit
1785557337,60806,0.2,183612,terminal
1785557337,61345,0.1,217744,terminal
1785557337,61917,0.2,188248,terminal
1785557337,60807,0.1,158144,appstore
