USER         PID    PPID    PGID     SID STAT     ELAPSED COMMAND
root           2       0       0       0 S       03:58:17 [kthreadd]
root           3       2       0       0 S       03:58:17  \_ [pool_workqueue_release]
root           4       2       0       0 I<      03:58:17  \_ [kworker/R-rcu_gp]
root           5       2       0       0 I<      03:58:17  \_ [kworker/R-sync_wq]
root           6       2       0       0 I<      03:58:17  \_ [kworker/R-kvfree_rcu_reclaim]
root           7       2       0       0 I<      03:58:17  \_ [kworker/R-slub_flushwq]
root           8       2       0       0 I<      03:58:17  \_ [kworker/R-netns]
root          10       2       0       0 I<      03:58:17  \_ [kworker/0:0H-kblockd]
root          13       2       0       0 I<      03:58:17  \_ [kworker/R-mm_percpu_wq]
root          14       2       0       0 S       03:58:17  \_ [ksoftirqd/0]
root          15       2       0       0 I       03:58:17  \_ [rcu_preempt]
root          16       2       0       0 S       03:58:17  \_ [rcu_exp_par_gp_kthread_worker/0]
root          17       2       0       0 S       03:58:17  \_ [rcu_exp_gp_kthread_worker]
root          18       2       0       0 S       03:58:17  \_ [migration/0]
root          19       2       0       0 S       03:58:17  \_ [idle_inject/0]
root          20       2       0       0 S       03:58:17  \_ [cpuhp/0]
root          21       2       0       0 S       03:58:17  \_ [cpuhp/1]
root          22       2       0       0 S       03:58:17  \_ [idle_inject/1]
root          23       2       0       0 S       03:58:17  \_ [migration/1]
root          24       2       0       0 S       03:58:17  \_ [ksoftirqd/1]
root          26       2       0       0 I<      03:58:17  \_ [kworker/1:0H-kblockd]
root          27       2       0       0 S       03:58:17  \_ [cpuhp/2]
root          28       2       0       0 S       03:58:17  \_ [idle_inject/2]
root          29       2       0       0 S       03:58:17  \_ [migration/2]
root          30       2       0       0 S       03:58:17  \_ [ksoftirqd/2]
root          32       2       0       0 I<      03:58:17  \_ [kworker/2:0H-kblockd]
root          33       2       0       0 S       03:58:17  \_ [cpuhp/3]
root          34       2       0       0 S       03:58:17  \_ [idle_inject/3]
root          35       2       0       0 S       03:58:17  \_ [migration/3]
root          36       2       0       0 S       03:58:17  \_ [ksoftirqd/3]
root          38       2       0       0 I<      03:58:17  \_ [kworker/3:0H-kblockd]
root          39       2       0       0 S       03:58:17  \_ [cpuhp/4]
root          40       2       0       0 S       03:58:17  \_ [idle_inject/4]
root          41       2       0       0 S       03:58:17  \_ [migration/4]
root          42       2       0       0 S       03:58:17  \_ [ksoftirqd/4]
root          44       2       0       0 I<      03:58:17  \_ [kworker/4:0H-kblockd]
root          45       2       0       0 S       03:58:17  \_ [cpuhp/5]
root          46       2       0       0 S       03:58:17  \_ [idle_inject/5]
root          47       2       0       0 S       03:58:17  \_ [migration/5]
root          48       2       0       0 S       03:58:17  \_ [ksoftirqd/5]
root          50       2       0       0 I<      03:58:17  \_ [kworker/5:0H-kblockd]
root          51       2       0       0 S       03:58:17  \_ [cpuhp/6]
root          52       2       0       0 S       03:58:17  \_ [idle_inject/6]
root          53       2       0       0 S       03:58:17  \_ [migration/6]
root          54       2       0       0 S       03:58:17  \_ [ksoftirqd/6]
root          56       2       0       0 I<      03:58:17  \_ [kworker/6:0H-kblockd]
root          57       2       0       0 S       03:58:17  \_ [cpuhp/7]
root          58       2       0       0 S       03:58:17  \_ [idle_inject/7]
root          59       2       0       0 S       03:58:17  \_ [migration/7]
root          60       2       0       0 S       03:58:17  \_ [ksoftirqd/7]
root          62       2       0       0 I<      03:58:17  \_ [kworker/7:0H-kblockd]
root          63       2       0       0 S       03:58:17  \_ [kdevtmpfs]
root          64       2       0       0 I<      03:58:17  \_ [kworker/R-inet_frag_wq]
root          65       2       0       0 I       03:58:17  \_ [rcu_tasks_kthread]
root          66       2       0       0 I       03:58:17  \_ [rcu_tasks_rude_kthread]
root          67       2       0       0 S       03:58:17  \_ [kauditd]
root          68       2       0       0 S       03:58:17  \_ [khungtaskd]
root          69       2       0       0 S       03:58:17  \_ [oom_reaper]
root          71       2       0       0 I<      03:58:17  \_ [kworker/R-writeback]
root          72       2       0       0 S       03:58:17  \_ [kcompactd0]
root          73       2       0       0 SN      03:58:17  \_ [ksmd]
root          74       2       0       0 SN      03:58:17  \_ [khugepaged]
root          75       2       0       0 I<      03:58:17  \_ [kworker/R-kblockd]
root          76       2       0       0 I<      03:58:17  \_ [kworker/R-blkcg_punt_bio]
root          77       2       0       0 I<      03:58:17  \_ [kworker/R-kintegrityd]
root          80       2       0       0 S<      03:58:17  \_ [pr/ttyAMA-1]
