path type mode owner
/run/user/1000/slopos-i/session-18c7a3228c0507c0-200691 d 700 ubuntu:ubuntu
/run/user/1000/slopos-i/session-18c7a3228c0507c0-200691/active-toplevel f 664 ubuntu:ubuntu
/run/user/1000/slopos-i/session-18c7a3228c0507c0-200691/app-control d 775 ubuntu:ubuntu
/run/user/1000/slopos-i/session-18c7a3228c0507c0-200691/app-control/com.slopos.terminal.sock s 775 ubuntu:ubuntu
/run/user/1000/slopos-i/session-18c7a3228c0507c0-200691/app-control/com.slopos.settings.sock s 775 ubuntu:ubuntu
/run/user/1000/slopos-i/session-18c7a3228c0507c0-200691/app-control/com.slopos.finder.sock s 775 ubuntu:ubuntu
/run/user/1000/slopos-i/session-18c7a3228c0507c0-200691/slopos-i d 775 ubuntu:ubuntu
/run/user/1000/slopos-i/session-18c7a3228c0507c0-200691/slopos-i/menus d 775 ubuntu:ubuntu
/run/user/1000/slopos-i/session-18c7a3228c0507c0-200691/slopos-client-wayland-display f 664 ubuntu:ubuntu
/run/user/1000/slopos-i/session-18c7a3228c0507c0-200691/wayland-display f 664 ubuntu:ubuntu
/run/user/1000/slopos-i/session-18c7a3228c0507c0-200691/client-wayland-display f 664 ubuntu:ubuntu
/run/user/1000/slopos-i/session-18c7a3228c0507c0-200691/readiness f 664 ubuntu:ubuntu
/run/user/1000/slopos-i/session-18c7a3228c0507c0-200691/control.sock s 775 ubuntu:ubuntu
/run/user/1000/slopos-i/session-18c7a3228c0507c0-200691/wayland-1 s 775 ubuntu:ubuntu
/run/user/1000/slopos-i/session-18c7a3228c0507c0-200691/wayland-1.lock f 660 ubuntu:ubuntu
/run/user/1000/slopos-i/session-18c7a3228c0507c0-200691/token f 600 ubuntu:ubuntu
/run/user/1000/slopos-i/session-18c7a3228c0507c0-200691/logs d 700 ubuntu:ubuntu
