    PID    PPID    PGID STAT %CPU   RSS     ELAPSED COMMAND
      2       0       0 S     0.0     0    02:42:42 [kthreadd]
      3       2       0 S     0.0     0    02:42:42  \_ [pool_workqueue_release]
      4       2       0 I<    0.0     0    02:42:42  \_ [kworker/R-rcu_gp]
      5       2       0 I<    0.0     0    02:42:42  \_ [kworker/R-sync_wq]
      6       2       0 I<    0.0     0    02:42:42  \_ [kworker/R-kvfree_rcu_reclaim]
      7       2       0 I<    0.0     0    02:42:42  \_ [kworker/R-slub_flushwq]
      8       2       0 I<    0.0     0    02:42:42  \_ [kworker/R-netns]
     10       2       0 I<    0.0     0    02:42:42  \_ [kworker/0:0H-kblockd]
     13       2       0 I<    0.0     0    02:42:42  \_ [kworker/R-mm_percpu_wq]
     14       2       0 S     0.0     0    02:42:42  \_ [ksoftirqd/0]
     15       2       0 I     0.0     0    02:42:42  \_ [rcu_preempt]
     16       2       0 S     0.0     0    02:42:42  \_ [rcu_exp_par_gp_kthread_worker/0]
     17       2       0 S     0.0     0    02:42:42  \_ [rcu_exp_gp_kthread_worker]
     18       2       0 S     0.0     0    02:42:42  \_ [migration/0]
     19       2       0 S     0.0     0    02:42:42  \_ [idle_inject/0]
     20       2       0 S     0.0     0    02:42:42  \_ [cpuhp/0]
     21       2       0 S     0.0     0    02:42:42  \_ [cpuhp/1]
     22       2       0 S     0.0     0    02:42:42  \_ [idle_inject/1]
     23       2       0 S     0.0     0    02:42:42  \_ [migration/1]
     24       2       0 S     0.0     0    02:42:42  \_ [ksoftirqd/1]
     26       2       0 I<    0.0     0    02:42:42  \_ [kworker/1:0H-kblockd]
     27       2       0 S     0.0     0    02:42:42  \_ [cpuhp/2]
     28       2       0 S     0.0     0    02:42:42  \_ [idle_inject/2]
     29       2       0 S     0.0     0    02:42:42  \_ [migration/2]
     30       2       0 S     0.0     0    02:42:42  \_ [ksoftirqd/2]
     32       2       0 I<    0.0     0    02:42:42  \_ [kworker/2:0H-kblockd]
     33       2       0 S     0.0     0    02:42:42  \_ [cpuhp/3]
     34       2       0 S     0.0     0    02:42:42  \_ [idle_inject/3]
     35       2       0 S     0.0     0    02:42:42  \_ [migration/3]
     36       2       0 S     0.0     0    02:42:42  \_ [ksoftirqd/3]
     38       2       0 I<    0.0     0    02:42:42  \_ [kworker/3:0H-kblockd]
     39       2       0 S     0.0     0    02:42:42  \_ [cpuhp/4]
     40       2       0 S     0.0     0    02:42:42  \_ [idle_inject/4]
