timestamp,pid,comm,pcpu,pmem,rss_kib,stat
2026-08-01T02:48:30+00:00,27344,slopos-session,0.0,0.0,2012,S
2026-08-01T02:48:30+00:00,27346,slopos-composit,2.8,2.9,102408,Sl
2026-08-01T02:48:30+00:00,27348,slopos-shell,84.2,14.1,489696,Rl
2026-08-01T02:48:35+00:00,27344,slopos-session,0.0,0.0,2012,S
2026-08-01T02:48:35+00:00,27346,slopos-composit,2.9,2.9,102408,Sl
2026-08-01T02:48:35+00:00,27348,slopos-shell,84.0,14.1,489696,Rl
2026-08-01T02:48:40+00:00,27344,slopos-session,0.0,0.0,2012,S
2026-08-01T02:48:40+00:00,27346,slopos-composit,3.0,2.9,102408,Sl
2026-08-01T02:48:40+00:00,27348,slopos-shell,84.2,14.1,489696,Rl
2026-08-01T02:48:45+00:00,27344,slopos-session,0.0,0.0,2012,S
2026-08-01T02:48:45+00:00,27346,slopos-composit,3.1,2.9,102408,Sl
2026-08-01T02:48:45+00:00,27348,slopos-shell,84.1,14.1,489696,Rl
2026-08-01T02:48:51+00:00,27344,slopos-session,0.0,0.0,2012,S
2026-08-01T02:48:51+00:00,27346,slopos-composit,3.2,2.9,102408,Sl
2026-08-01T02:48:51+00:00,27348,slopos-shell,84.1,14.1,489696,Sl
2026-08-01T02:48:56+00:00,27344,slopos-session,0.0,0.0,2012,S
2026-08-01T02:48:56+00:00,27346,slopos-composit,3.2,2.9,102408,Sl
2026-08-01T02:48:56+00:00,27348,slopos-shell,84.1,14.1,489696,Rl
2026-08-01T02:49:01+00:00,27344,slopos-session,0.0,0.0,2012,S
2026-08-01T02:49:01+00:00,27346,slopos-composit,3.2,2.9,102408,Sl
2026-08-01T02:49:01+00:00,27348,slopos-shell,84.1,14.1,489696,Sl
2026-08-01T02:49:06+00:00,27344,slopos-session,0.0,0.0,2012,S
2026-08-01T02:49:06+00:00,27346,slopos-composit,3.2,2.9,102408,Sl
2026-08-01T02:49:06+00:00,27348,slopos-shell,84.1,14.1,489696,Rl
2026-08-01T02:49:11+00:00,27344,slopos-session,0.0,0.0,2012,S
2026-08-01T02:49:11+00:00,27346,slopos-composit,3.2,2.9,102408,Sl
2026-08-01T02:49:11+00:00,27348,slopos-shell,84.1,14.1,489696,Sl
2026-08-01T02:49:16+00:00,27344,slopos-session,0.0,0.0,2012,S
2026-08-01T02:49:16+00:00,27346,slopos-composit,3.1,2.9,102408,Sl
2026-08-01T02:49:16+00:00,27348,slopos-shell,84.2,14.1,489696,Rl
2026-08-01T02:49:21+00:00,27344,slopos-session,0.0,0.0,2012,S
2026-08-01T02:49:21+00:00,27346,slopos-composit,3.1,2.9,102408,Sl
2026-08-01T02:49:21+00:00,27348,slopos-shell,84.1,14.1,489696,Sl
2026-08-01T02:49:26+00:00,27344,slopos-session,0.0,0.0,2012,S
2026-08-01T02:49:26+00:00,27346,slopos-composit,3.1,2.9,102408,Sl
2026-08-01T02:49:26+00:00,27348,slopos-shell,84.2,14.1,489696,Rl
