USER         PID    PPID    PGID     SID STAT     ELAPSED   RSS %CPU COMMAND
root           2       0       0       0 S          52:34     0  0.0 [kthreadd]
root           3       2       0       0 S          52:34     0  0.0  \_ [pool_workqueue_release]
root           4       2       0       0 I<         52:34     0  0.0  \_ [kworker/R-rcu_gp]
root           5       2       0       0 I<         52:34     0  0.0  \_ [kworker/R-sync_wq]
root           6       2       0       0 I<         52:34     0  0.0  \_ [kworker/R-kvfree_rcu_reclaim]
root           7       2       0       0 I<         52:34     0  0.0  \_ [kworker/R-slub_flushwq]
root           8       2       0       0 I<         52:34     0  0.0  \_ [kworker/R-netns]
root          10       2       0       0 I<         52:34     0  0.0  \_ [kworker/0:0H-kblockd]
root          13       2       0       0 I<         52:34     0  0.0  \_ [kworker/R-mm_percpu_wq]
root          14       2       0       0 S          52:34     0  0.0  \_ [ksoftirqd/0]
root          15       2       0       0 I          52:34     0  0.1  \_ [rcu_preempt]
root          16       2       0       0 S          52:34     0  0.0  \_ [rcu_exp_par_gp_kthread_worker/0]
root          17       2       0       0 S          52:34     0  0.0  \_ [rcu_exp_gp_kthread_worker]
root          18       2       0       0 S          52:34     0  0.0  \_ [migration/0]
root          19       2       0       0 S          52:34     0  0.0  \_ [idle_inject/0]
root          20       2       0       0 S          52:34     0  0.0  \_ [cpuhp/0]
root          21       2       0       0 S          52:34     0  0.0  \_ [cpuhp/1]
root          22       2       0       0 S          52:34     0  0.0  \_ [idle_inject/1]
root          23       2       0       0 S          52:34     0  0.0  \_ [migration/1]
root          24       2       0       0 S          52:34     0  0.0  \_ [ksoftirqd/1]
root          26       2       0       0 I<         52:34     0  0.0  \_ [kworker/1:0H-kblockd]
root          27       2       0       0 S          52:34     0  0.0  \_ [cpuhp/2]
root          28       2       0       0 S          52:34     0  0.0  \_ [idle_inject/2]
root          29       2       0       0 S          52:34     0  0.0  \_ [migration/2]
root          30       2       0       0 S          52:34     0  0.0  \_ [ksoftirqd/2]
root          32       2       0       0 I<         52:34     0  0.0  \_ [kworker/2:0H-kblockd]
root          33       2       0       0 S          52:34     0  0.0  \_ [cpuhp/3]
root          34       2       0       0 S          52:34     0  0.0  \_ [idle_inject/3]
root          35       2       0       0 S          52:34     0  0.0  \_ [migration/3]
root          36       2       0       0 S          52:34     0  0.0  \_ [ksoftirqd/3]
root          38       2       0       0 I<         52:34     0  0.0  \_ [kworker/3:0H-kblockd]
root          39       2       0       0 S          52:34     0  0.0  \_ [cpuhp/4]
root          40       2       0       0 S          52:34     0  0.0  \_ [idle_inject/4]
root          41       2       0       0 S          52:34     0  0.0  \_ [migration/4]
root          42       2       0       0 S          52:34     0  0.0  \_ [ksoftirqd/4]
root          44       2       0       0 I<         52:34     0  0.0  \_ [kworker/4:0H-kblockd]
root          45       2       0       0 S          52:34     0  0.0  \_ [cpuhp/5]
root          46       2       0       0 S          52:34     0  0.0  \_ [idle_inject/5]
root          47       2       0       0 S          52:34     0  0.0  \_ [migration/5]
root          48       2       0       0 S          52:34     0  0.0  \_ [ksoftirqd/5]
