timestamp,pid,comm,cpu_percent,rss_kib
1785579934,238248,slopos-session,0.1,1632
1785579934,238250,slopos-composit,0.6,99852
1785579934,238252,slopos-shell,7.1,598392
1785579934,238263,finder,0.8,255292
1785579934,238615,settings,1.1,218352
1785579939,238248,slopos-session,0.1,1632
1785579939,238250,slopos-composit,0.6,99852
1785579939,238252,slopos-shell,6.9,598432
1785579939,238263,finder,0.8,255292
1785579939,238615,settings,1.0,218352
1785579944,238248,slopos-session,0.1,1632
1785579944,238250,slopos-composit,0.6,99852
1785579944,238252,slopos-shell,6.8,598432
1785579944,238263,finder,0.8,255292
1785579944,238615,settings,1.0,218352
1785579949,238248,slopos-session,0.1,1632
1785579949,238250,slopos-composit,0.6,99852
1785579949,238252,slopos-shell,6.6,598472
1785579949,238263,finder,0.8,255292
1785579949,238615,settings,1.0,218352
1785579954,238248,slopos-session,0.1,1632
1785579954,238250,slopos-composit,0.6,99852
1785579954,238252,slopos-shell,6.5,598512
1785579954,238263,finder,0.8,255292
1785579954,238615,settings,0.9,218352
1785579959,238248,slopos-session,0.1,1632
1785579959,238250,slopos-composit,0.6,99852
1785579959,238252,slopos-shell,6.3,598548
1785579959,238263,finder,0.7,255292
1785579959,238615,settings,0.9,218352
1785579964,238248,slopos-session,0.1,1632
1785579964,238250,slopos-composit,0.6,99916
1785579964,238252,slopos-shell,6.8,613504
1785579964,238263,finder,0.7,255292
1785579964,238615,settings,0.9,217792
1785579969,238248,slopos-session,0.1,1632
1785579969,238250,slopos-composit,0.6,99916
1785579969,238252,slopos-shell,6.6,613504
1785579969,238263,finder,0.7,255292
1785579969,238615,settings,0.9,217792
1785579974,238248,slopos-session,0.1,1632
1785579974,238250,slopos-composit,0.5,99916
1785579974,238252,slopos-shell,6.5,613504
1785579974,238263,finder,0.7,255292
1785579974,238615,settings,0.8,217792
1785579979,238248,slopos-session,0.1,1632
1785579979,238250,slopos-composit,0.5,99916
1785579979,238252,slopos-shell,6.4,613504
1785579979,238263,finder,0.7,255292
1785579979,238615,settings,0.8,217792
1785579984,238248,slopos-session,0.1,1632
1785579984,238250,slopos-composit,0.5,99916
1785579984,238252,slopos-shell,6.2,613504
1785579984,238263,finder,0.6,255292
1785579984,238615,settings,0.8,217792
1785579989,238248,slopos-session,0.1,1632
1785579989,238250,slopos-composit,0.5,99916
1785579989,238252,slopos-shell,6.1,622212
1785579989,238263,finder,0.6,255292
1785579989,238615,settings,0.8,217792
